product_id,product_name,plant,week_no,material_id,material_name,cumulative_unit_usage,finished_good_demand,material_gross_demand,product_lifecycle
P001,电驱控制器-A,华东工厂,10,M0002,信号线束-002,8.0,1312,10496,Pilot
P001,电驱控制器-A,华东工厂,11,M0002,信号线束-002,8.0,1211,9688,Pilot
P001,电驱控制器-A,华东工厂,12,M0002,信号线束-002,8.0,1452,11616,Pilot
P001,电驱控制器-A,华东工厂,1,M0013,壳体-013,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0013,壳体-013,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0013,壳体-013,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0013,壳体-013,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0013,壳体-013,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0013,壳体-013,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0013,壳体-013,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0013,壳体-013,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0013,壳体-013,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0013,壳体-013,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0013,壳体-013,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0013,壳体-013,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0014,紧固件-014,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0014,紧固件-014,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0014,紧固件-014,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0014,紧固件-014,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0014,紧固件-014,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0014,紧固件-014,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0014,紧固件-014,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0014,紧固件-014,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0014,紧固件-014,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0014,紧固件-014,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0014,紧固件-014,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0014,紧固件-014,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0016,控制板-016,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0016,控制板-016,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0016,控制板-016,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0016,控制板-016,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0016,控制板-016,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0016,控制板-016,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0016,控制板-016,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0016,控制板-016,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0016,控制板-016,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0016,控制板-016,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0016,控制板-016,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0016,控制板-016,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0017,信号线束-017,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0017,信号线束-017,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0017,信号线束-017,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0017,信号线束-017,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0017,信号线束-017,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0017,信号线束-017,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0017,信号线束-017,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0017,信号线束-017,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0017,信号线束-017,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0017,信号线束-017,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0017,信号线束-017,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0017,信号线束-017,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0019,铜排-019,2.0,1039,2078,Pilot
P001,电驱控制器-A,华东工厂,2,M0019,铜排-019,2.0,961,1922,Pilot
P001,电驱控制器-A,华东工厂,3,M0019,铜排-019,2.0,943,1886,Pilot
P001,电驱控制器-A,华东工厂,4,M0019,铜排-019,2.0,1065,2130,Pilot
P001,电驱控制器-A,华东工厂,5,M0019,铜排-019,2.0,1237,2474,Pilot
P001,电驱控制器-A,华东工厂,6,M0019,铜排-019,2.0,1450,2900,Pilot
P001,电驱控制器-A,华东工厂,7,M0019,铜排-019,2.0,1367,2734,Pilot
P001,电驱控制器-A,华东工厂,8,M0019,铜排-019,2.0,1421,2842,Pilot
P001,电驱控制器-A,华东工厂,9,M0019,铜排-019,2.0,1155,2310,Pilot
P001,电驱控制器-A,华东工厂,10,M0019,铜排-019,2.0,1312,2624,Pilot
P001,电驱控制器-A,华东工厂,11,M0019,铜排-019,2.0,1211,2422,Pilot
P001,电驱控制器-A,华东工厂,12,M0019,铜排-019,2.0,1452,2904,Pilot
P001,电驱控制器-A,华东工厂,1,M0020,变压器-020,2.0,1039,2078,Pilot
P001,电驱控制器-A,华东工厂,2,M0020,变压器-020,2.0,961,1922,Pilot
P001,电驱控制器-A,华东工厂,3,M0020,变压器-020,2.0,943,1886,Pilot
P001,电驱控制器-A,华东工厂,4,M0020,变压器-020,2.0,1065,2130,Pilot
P001,电驱控制器-A,华东工厂,5,M0020,变压器-020,2.0,1237,2474,Pilot
P001,电驱控制器-A,华东工厂,6,M0020,变压器-020,2.0,1450,2900,Pilot
P001,电驱控制器-A,华东工厂,7,M0020,变压器-020,2.0,1367,2734,Pilot
P001,电驱控制器-A,华东工厂,8,M0020,变压器-020,2.0,1421,2842,Pilot
P001,电驱控制器-A,华东工厂,9,M0020,变压器-020,2.0,1155,2310,Pilot
P001,电驱控制器-A,华东工厂,10,M0020,变压器-020,2.0,1312,2624,Pilot
P001,电驱控制器-A,华东工厂,11,M0020,变压器-020,2.0,1211,2422,Pilot
P001,电驱控制器-A,华东工厂,12,M0020,变压器-020,2.0,1452,2904,Pilot
P001,电驱控制器-A,华东工厂,1,M0028,壳体-028,2.0,1039,2078,Pilot
P001,电驱控制器-A,华东工厂,2,M0028,壳体-028,2.0,961,1922,Pilot
P001,电驱控制器-A,华东工厂,3,M0028,壳体-028,2.0,943,1886,Pilot
P001,电驱控制器-A,华东工厂,4,M0028,壳体-028,2.0,1065,2130,Pilot
P001,电驱控制器-A,华东工厂,5,M0028,壳体-028,2.0,1237,2474,Pilot
P001,电驱控制器-A,华东工厂,6,M0028,壳体-028,2.0,1450,2900,Pilot
P001,电驱控制器-A,华东工厂,7,M0028,壳体-028,2.0,1367,2734,Pilot
P001,电驱控制器-A,华东工厂,8,M0028,壳体-028,2.0,1421,2842,Pilot
P001,电驱控制器-A,华东工厂,9,M0028,壳体-028,2.0,1155,2310,Pilot
P001,电驱控制器-A,华东工厂,10,M0028,壳体-028,2.0,1312,2624,Pilot
P001,电驱控制器-A,华东工厂,11,M0028,壳体-028,2.0,1211,2422,Pilot
P001,电驱控制器-A,华东工厂,12,M0028,壳体-028,2.0,1452,2904,Pilot
P001,电驱控制器-A,华东工厂,1,M0030,磁芯-030,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0030,磁芯-030,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0030,磁芯-030,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0030,磁芯-030,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0030,磁芯-030,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0030,磁芯-030,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0030,磁芯-030,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0030,磁芯-030,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0030,磁芯-030,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0030,磁芯-030,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0030,磁芯-030,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0030,磁芯-030,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0035,变压器-035,2.0,1039,2078,Pilot
P001,电驱控制器-A,华东工厂,2,M0035,变压器-035,2.0,961,1922,Pilot
P001,电驱控制器-A,华东工厂,3,M0035,变压器-035,2.0,943,1886,Pilot
P001,电驱控制器-A,华东工厂,4,M0035,变压器-035,2.0,1065,2130,Pilot
P001,电驱控制器-A,华东工厂,5,M0035,变压器-035,2.0,1237,2474,Pilot
P001,电驱控制器-A,华东工厂,6,M0035,变压器-035,2.0,1450,2900,Pilot
P001,电驱控制器-A,华东工厂,7,M0035,变压器-035,2.0,1367,2734,Pilot
P001,电驱控制器-A,华东工厂,8,M0035,变压器-035,2.0,1421,2842,Pilot
P001,电驱控制器-A,华东工厂,9,M0035,变压器-035,2.0,1155,2310,Pilot
P001,电驱控制器-A,华东工厂,10,M0035,变压器-035,2.0,1312,2624,Pilot
P001,电驱控制器-A,华东工厂,11,M0035,变压器-035,2.0,1211,2422,Pilot
P001,电驱控制器-A,华东工厂,12,M0035,变压器-035,2.0,1452,2904,Pilot
P001,电驱控制器-A,华东工厂,1,M0036,控制板-036,2.0,1039,2078,Pilot
P001,电驱控制器-A,华东工厂,2,M0036,控制板-036,2.0,961,1922,Pilot
P001,电驱控制器-A,华东工厂,3,M0036,控制板-036,2.0,943,1886,Pilot
P001,电驱控制器-A,华东工厂,4,M0036,控制板-036,2.0,1065,2130,Pilot
P001,电驱控制器-A,华东工厂,5,M0036,控制板-036,2.0,1237,2474,Pilot
P001,电驱控制器-A,华东工厂,6,M0036,控制板-036,2.0,1450,2900,Pilot
P001,电驱控制器-A,华东工厂,7,M0036,控制板-036,2.0,1367,2734,Pilot
P001,电驱控制器-A,华东工厂,8,M0036,控制板-036,2.0,1421,2842,Pilot
P001,电驱控制器-A,华东工厂,9,M0036,控制板-036,2.0,1155,2310,Pilot
P001,电驱控制器-A,华东工厂,10,M0036,控制板-036,2.0,1312,2624,Pilot
P001,电驱控制器-A,华东工厂,11,M0036,控制板-036,2.0,1211,2422,Pilot
P001,电驱控制器-A,华东工厂,12,M0036,控制板-036,2.0,1452,2904,Pilot
P001,电驱控制器-A,华东工厂,1,M0039,散热件-039,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0039,散热件-039,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0039,散热件-039,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0039,散热件-039,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0039,散热件-039,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0039,散热件-039,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0039,散热件-039,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0039,散热件-039,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0039,散热件-039,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0039,散热件-039,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0039,散热件-039,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0039,散热件-039,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0040,电感-040,2.0,1039,2078,Pilot
P001,电驱控制器-A,华东工厂,2,M0040,电感-040,2.0,961,1922,Pilot
P001,电驱控制器-A,华东工厂,3,M0040,电感-040,2.0,943,1886,Pilot
P001,电驱控制器-A,华东工厂,4,M0040,电感-040,2.0,1065,2130,Pilot
P001,电驱控制器-A,华东工厂,5,M0040,电感-040,2.0,1237,2474,Pilot
P001,电驱控制器-A,华东工厂,6,M0040,电感-040,2.0,1450,2900,Pilot
P001,电驱控制器-A,华东工厂,7,M0040,电感-040,2.0,1367,2734,Pilot
P001,电驱控制器-A,华东工厂,8,M0040,电感-040,2.0,1421,2842,Pilot
P001,电驱控制器-A,华东工厂,9,M0040,电感-040,2.0,1155,2310,Pilot
P001,电驱控制器-A,华东工厂,10,M0040,电感-040,2.0,1312,2624,Pilot
P001,电驱控制器-A,华东工厂,11,M0040,电感-040,2.0,1211,2422,Pilot
P001,电驱控制器-A,华东工厂,12,M0040,电感-040,2.0,1452,2904,Pilot
P001,电驱控制器-A,华东工厂,1,M0043,壳体-043,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0043,壳体-043,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0043,壳体-043,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0043,壳体-043,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0043,壳体-043,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0043,壳体-043,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0043,壳体-043,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0043,壳体-043,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0043,壳体-043,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0043,壳体-043,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0043,壳体-043,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0043,壳体-043,1.0,1452,1452,Pilot
P002,车载电源-B,华南工厂,1,M0001,控制板-001,9.0,1126,10134,Pilot
P002,车载电源-B,华南工厂,2,M0001,控制板-001,9.0,1271,11439,Pilot
P002,车载电源-B,华南工厂,3,M0001,控制板-001,9.0,1243,11187,Pilot
P002,车载电源-B,华南工厂,4,M0001,控制板-001,9.0,1500,13500,Pilot
P002,车载电源-B,华南工厂,5,M0001,控制板-001,9.0,1035,9315,Pilot
P002,车载电源-B,华南工厂,6,M0001,控制板-001,9.0,1151,10359,Pilot
P002,车载电源-B,华南工厂,7,M0001,控制板-001,9.0,1052,9468,Pilot
P002,车载电源-B,华南工厂,8,M0001,控制板-001,9.0,1246,11214,Pilot
P002,车载电源-B,华南工厂,9,M0001,控制板-001,9.0,1548,13932,Pilot
P002,车载电源-B,华南工厂,10,M0001,控制板-001,9.0,1578,14202,Pilot
P002,车载电源-B,华南工厂,11,M0001,控制板-001,9.0,1561,14049,Pilot
P002,车载电源-B,华南工厂,12,M0001,控制板-001,9.0,1993,17937,Pilot
P002,车载电源-B,华南工厂,1,M0002,信号线束-002,12.0,1126,13512,Pilot
P002,车载电源-B,华南工厂,2,M0002,信号线束-002,12.0,1271,15252,Pilot
P002,车载电源-B,华南工厂,3,M0002,信号线束-002,12.0,1243,14916,Pilot
P002,车载电源-B,华南工厂,4,M0002,信号线束-002,12.0,1500,18000,Pilot
P002,车载电源-B,华南工厂,5,M0002,信号线束-002,12.0,1035,12420,Pilot
P002,车载电源-B,华南工厂,6,M0002,信号线束-002,12.0,1151,13812,Pilot
P002,车载电源-B,华南工厂,7,M0002,信号线束-002,12.0,1052,12624,Pilot
P002,车载电源-B,华南工厂,8,M0002,信号线束-002,12.0,1246,14952,Pilot
P002,车载电源-B,华南工厂,9,M0002,信号线束-002,12.0,1548,18576,Pilot
P002,车载电源-B,华南工厂,10,M0002,信号线束-002,12.0,1578,18936,Pilot
P002,车载电源-B,华南工厂,11,M0002,信号线束-002,12.0,1561,18732,Pilot
P002,车载电源-B,华南工厂,12,M0002,信号线束-002,12.0,1993,23916,Pilot
P002,车载电源-B,华南工厂,1,M0004,铜排-004,1.0,1126,1126,Pilot
P002,车载电源-B,华南工厂,2,M0004,铜排-004,1.0,1271,1271,Pilot
P002,车载电源-B,华南工厂,3,M0004,铜排-004,1.0,1243,1243,Pilot
P002,车载电源-B,华南工厂,4,M0004,铜排-004,1.0,1500,1500,Pilot
P002,车载电源-B,华南工厂,5,M0004,铜排-004,1.0,1035,1035,Pilot
P002,车载电源-B,华南工厂,6,M0004,铜排-004,1.0,1151,1151,Pilot
P002,车载电源-B,华南工厂,7,M0004,铜排-004,1.0,1052,1052,Pilot
P002,车载电源-B,华南工厂,8,M0004,铜排-004,1.0,1246,1246,Pilot
P002,车载电源-B,华南工厂,9,M0004,铜排-004,1.0,1548,1548,Pilot
P002,车载电源-B,华南工厂,10,M0004,铜排-004,1.0,1578,1578,Pilot
P002,车载电源-B,华南工厂,11,M0004,铜排-004,1.0,1561,1561,Pilot
P002,车载电源-B,华南工厂,12,M0004,铜排-004,1.0,1993,1993,Pilot
P002,车载电源-B,华南工厂,1,M0005,变压器-005,2.0,1126,2252,Pilot
P002,车载电源-B,华南工厂,2,M0005,变压器-005,2.0,1271,2542,Pilot
P002,车载电源-B,华南工厂,3,M0005,变压器-005,2.0,1243,2486,Pilot
P002,车载电源-B,华南工厂,4,M0005,变压器-005,2.0,1500,3000,Pilot
P002,车载电源-B,华南工厂,5,M0005,变压器-005,2.0,1035,2070,Pilot
P002,车载电源-B,华南工厂,6,M0005,变压器-005,2.0,1151,2302,Pilot
P002,车载电源-B,华南工厂,7,M0005,变压器-005,2.0,1052,2104,Pilot
P002,车载电源-B,华南工厂,8,M0005,变压器-005,2.0,1246,2492,Pilot
P002,车载电源-B,华南工厂,9,M0005,变压器-005,2.0,1548,3096,Pilot
P002,车载电源-B,华南工厂,10,M0005,变压器-005,2.0,1578,3156,Pilot
P002,车载电源-B,华南工厂,11,M0005,变压器-005,2.0,1561,3122,Pilot
P002,车载电源-B,华南工厂,12,M0005,变压器-005,2.0,1993,3986,Pilot
P002,车载电源-B,华南工厂,1,M0017,信号线束-017,2.0,1126,2252,Pilot
P002,车载电源-B,华南工厂,2,M0017,信号线束-017,2.0,1271,2542,Pilot
P002,车载电源-B,华南工厂,3,M0017,信号线束-017,2.0,1243,2486,Pilot
P002,车载电源-B,华南工厂,4,M0017,信号线束-017,2.0,1500,3000,Pilot
P002,车载电源-B,华南工厂,5,M0017,信号线束-017,2.0,1035,2070,Pilot
P002,车载电源-B,华南工厂,6,M0017,信号线束-017,2.0,1151,2302,Pilot
P002,车载电源-B,华南工厂,7,M0017,信号线束-017,2.0,1052,2104,Pilot
P002,车载电源-B,华南工厂,8,M0017,信号线束-017,2.0,1246,2492,Pilot
P002,车载电源-B,华南工厂,9,M0017,信号线束-017,2.0,1548,3096,Pilot
P002,车载电源-B,华南工厂,10,M0017,信号线束-017,2.0,1578,3156,Pilot
P002,车载电源-B,华南工厂,11,M0017,信号线束-017,2.0,1561,3122,Pilot
P002,车载电源-B,华南工厂,12,M0017,信号线束-017,2.0,1993,3986,Pilot
P002,车载电源-B,华南工厂,1,M0019,铜排-019,2.0,1126,2252,Pilot
P002,车载电源-B,华南工厂,2,M0019,铜排-019,2.0,1271,2542,Pilot
P002,车载电源-B,华南工厂,3,M0019,铜排-019,2.0,1243,2486,Pilot
P002,车载电源-B,华南工厂,4,M0019,铜排-019,2.0,1500,3000,Pilot
P002,车载电源-B,华南工厂,5,M0019,铜排-019,2.0,1035,2070,Pilot
P002,车载电源-B,华南工厂,6,M0019,铜排-019,2.0,1151,2302,Pilot
P002,车载电源-B,华南工厂,7,M0019,铜排-019,2.0,1052,2104,Pilot
P002,车载电源-B,华南工厂,8,M0019,铜排-019,2.0,1246,2492,Pilot
P002,车载电源-B,华南工厂,9,M0019,铜排-019,2.0,1548,3096,Pilot
P002,车载电源-B,华南工厂,10,M0019,铜排-019,2.0,1578,3156,Pilot
P002,车载电源-B,华南工厂,11,M0019,铜排-019,2.0,1561,3122,Pilot
P002,车载电源-B,华南工厂,12,M0019,铜排-019,2.0,1993,3986,Pilot
P002,车载电源-B,华南工厂,1,M0020,变压器-020,2.0,1126,2252,Pilot
P002,车载电源-B,华南工厂,2,M0020,变压器-020,2.0,1271,2542,Pilot
P002,车载电源-B,华南工厂,3,M0020,变压器-020,2.0,1243,2486,Pilot
P002,车载电源-B,华南工厂,4,M0020,变压器-020,2.0,1500,3000,Pilot
P002,车载电源-B,华南工厂,5,M0020,变压器-020,2.0,1035,2070,Pilot
P002,车载电源-B,华南工厂,6,M0020,变压器-020,2.0,1151,2302,Pilot
P002,车载电源-B,华南工厂,7,M0020,变压器-020,2.0,1052,2104,Pilot
P002,车载电源-B,华南工厂,8,M0020,变压器-020,2.0,1246,2492,Pilot
P002,车载电源-B,华南工厂,9,M0020,变压器-020,2.0,1548,3096,Pilot
P002,车载电源-B,华南工厂,10,M0020,变压器-020,2.0,1578,3156,Pilot
P002,车载电源-B,华南工厂,11,M0020,变压器-020,2.0,1561,3122,Pilot
P002,车载电源-B,华南工厂,12,M0020,变压器-020,2.0,1993,3986,Pilot
P002,车载电源-B,华南工厂,1,M0022,高压线束-022,1.0,1126,1126,Pilot
P002,车载电源-B,华南工厂,2,M0022,高压线束-022,1.0,1271,1271,Pilot
P002,车载电源-B,华南工厂,3,M0022,高压线束-022,1.0,1243,1243,Pilot
P002,车载电源-B,华南工厂,4,M0022,高压线束-022,1.0,1500,1500,Pilot
P002,车载电源-B,华南工厂,5,M0022,高压线束-022,1.0,1035,1035,Pilot
P002,车载电源-B,华南工厂,6,M0022,高压线束-022,1.0,1151,1151,Pilot
P002,车载电源-B,华南工厂,7,M0022,高压线束-022,1.0,1052,1052,Pilot
P002,车载电源-B,华南工厂,8,M0022,高压线束-022,1.0,1246,1246,Pilot
P002,车载电源-B,华南工厂,9,M0022,高压线束-022,1.0,1548,1548,Pilot
P002,车载电源-B,华南工厂,10,M0022,高压线束-022,1.0,1578,1578,Pilot
P002,车载电源-B,华南工厂,11,M0022,高压线束-022,1.0,1561,1561,Pilot
P002,车载电源-B,华南工厂,12,M0022,高压线束-022,1.0,1993,1993,Pilot
P002,车载电源-B,华南工厂,1,M0030,磁芯-030,1.0,1126,1126,Pilot
P002,车载电源-B,华南工厂,2,M0030,磁芯-030,1.0,1271,1271,Pilot
P002,车载电源-B,华南工厂,3,M0030,磁芯-030,1.0,1243,1243,Pilot
P002,车载电源-B,华南工厂,4,M0030,磁芯-030,1.0,1500,1500,Pilot
P002,车载电源-B,华南工厂,5,M0030,磁芯-030,1.0,1035,1035,Pilot
P002,车载电源-B,华南工厂,6,M0030,磁芯-030,1.0,1151,1151,Pilot
P002,车载电源-B,华南工厂,7,M0030,磁芯-030,1.0,1052,1052,Pilot
P002,车载电源-B,华南工厂,8,M0030,磁芯-030,1.0,1246,1246,Pilot
P002,车载电源-B,华南工厂,9,M0030,磁芯-030,1.0,1548,1548,Pilot
P002,车载电源-B,华南工厂,10,M0030,磁芯-030,1.0,1578,1578,Pilot
P002,车载电源-B,华南工厂,11,M0030,磁芯-030,1.0,1561,1561,Pilot
P002,车载电源-B,华南工厂,12,M0030,磁芯-030,1.0,1993,1993,Pilot
P002,车载电源-B,华南工厂,1,M0043,壳体-043,4.0,1126,4504,Pilot
P002,车载电源-B,华南工厂,2,M0043,壳体-043,4.0,1271,5084,Pilot
P002,车载电源-B,华南工厂,3,M0043,壳体-043,4.0,1243,4972,Pilot
P002,车载电源-B,华南工厂,4,M0043,壳体-043,4.0,1500,6000,Pilot
P002,车载电源-B,华南工厂,5,M0043,壳体-043,4.0,1035,4140,Pilot
P002,车载电源-B,华南工厂,6,M0043,壳体-043,4.0,1151,4604,Pilot
P002,车载电源-B,华南工厂,7,M0043,壳体-043,4.0,1052,4208,Pilot
P002,车载电源-B,华南工厂,8,M0043,壳体-043,4.0,1246,4984,Pilot
P002,车载电源-B,华南工厂,9,M0043,壳体-043,4.0,1548,6192,Pilot
P002,车载电源-B,华南工厂,10,M0043,壳体-043,4.0,1578,6312,Pilot
P002,车载电源-B,华南工厂,11,M0043,壳体-043,4.0,1561,6244,Pilot
P002,车载电源-B,华南工厂,12,M0043,壳体-043,4.0,1993,7972,Pilot
P002,车载电源-B,华南工厂,1,M0044,紧固件-044,4.0,1126,4504,Pilot
P002,车载电源-B,华南工厂,2,M0044,紧固件-044,4.0,1271,5084,Pilot
P002,车载电源-B,华南工厂,3,M0044,紧固件-044,4.0,1243,4972,Pilot
P002,车载电源-B,华南工厂,4,M0044,紧固件-044,4.0,1500,6000,Pilot
P002,车载电源-B,华南工厂,5,M0044,紧固件-044,4.0,1035,4140,Pilot
P002,车载电源-B,华南工厂,6,M0044,紧固件-044,4.0,1151,4604,Pilot
P002,车载电源-B,华南工厂,7,M0044,紧固件-044,4.0,1052,4208,Pilot
P002,车载电源-B,华南工厂,8,M0044,紧固件-044,4.0,1246,4984,Pilot
P002,车载电源-B,华南工厂,9,M0044,紧固件-044,4.0,1548,6192,Pilot
P002,车载电源-B,华南工厂,10,M0044,紧固件-044,4.0,1578,6312,Pilot
P002,车载电源-B,华南工厂,11,M0044,紧固件-044,4.0,1561,6244,Pilot
P002,车载电源-B,华南工厂,12,M0044,紧固件-044,4.0,1993,7972,Pilot
P002,车载电源-B,华南工厂,1,M0047,信号线束-047,8.0,1126,9008,Pilot
