source_type,case_id,material_id,plant,week_start,on_hand,frozen,quality_hold,allocated,reusable_return,gross_demand,reserved_demand,safety_stock,po_receipt,production_receipt,transfer_in,transfer_out,data_version
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-09-07,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-09-14,5000,500,0,0,0,1700,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-09-14,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-09-21,5000,500,0,0,0,1600,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-09-21,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-09-28,5000,500,0,0,0,1500,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-09-28,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-10-05,5000,500,0,0,0,1400,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-10-05,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-10-12,5000,500,0,0,0,1300,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-10-12,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-10-19,5000,500,0,0,0,1200,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-10-19,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-07-27,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-08-03,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-08-10,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-08-17,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-08-24,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-08-31,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-09-07,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-09-14,5000,0,0,0,0,1000,0,500,10000,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-09-21,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-09-28,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-10-05,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-10-12,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
DEMO,CASE3,MAT-C,DEMO_PLANT,2026-10-19,5000,0,0,0,0,1000,0,500,0,0,0,0,DEMO-INV-V1
