version,product_id,week_no,week_start,demand_qty,plant,lifecycle
V_CURR,P008,4,2026-08-24,161,华南工厂,EOM预警
V_CURR,P008,5,2026-08-31,69,华南工厂,EOM预警
V_CURR,P008,6,2026-09-07,65,华南工厂,EOM预警
V_CURR,P008,7,2026-09-14,66,华南工厂,EOM预警
V_CURR,P008,8,2026-09-21,79,华南工厂,EOM预警
V_CURR,P008,9,2026-09-28,0,华南工厂,EOM预警
V_CURR,P008,10,2026-10-05,0,华南工厂,EOM预警
V_CURR,P008,11,2026-10-12,0,华南工厂,EOM预警
V_CURR,P008,12,2026-10-19,0,华南工厂,EOM预警
V_CURR,P009,1,2026-08-03,233,华东工厂,EOM
V_CURR,P009,2,2026-08-10,281,华东工厂,EOM
V_CURR,P009,3,2026-08-17,266,华东工厂,EOM
V_CURR,P009,4,2026-08-24,350,华东工厂,EOM
V_CURR,P009,5,2026-08-31,142,华东工厂,EOM
V_CURR,P009,6,2026-09-07,154,华东工厂,EOM
V_CURR,P009,7,2026-09-14,133,华东工厂,EOM
V_CURR,P009,8,2026-09-21,162,华东工厂,EOM
V_CURR,P009,9,2026-09-28,0,华东工厂,EOM
V_CURR,P009,10,2026-10-05,0,华东工厂,EOM
V_CURR,P009,11,2026-10-12,0,华东工厂,EOM
V_CURR,P009,12,2026-10-19,0,华东工厂,EOM
V_CURR,P010,1,2026-08-03,1740,华南工厂,SOP
V_CURR,P010,2,2026-08-10,1865,华南工厂,SOP
V_CURR,P010,3,2026-08-17,1483,华南工厂,SOP
V_CURR,P010,4,2026-08-24,1603,华南工厂,SOP
V_CURR,P010,5,2026-08-31,1548,华南工厂,SOP
V_CURR,P010,6,2026-09-07,1525,华南工厂,SOP
V_CURR,P010,7,2026-09-14,1532,华南工厂,SOP
V_CURR,P010,8,2026-09-21,1767,华南工厂,SOP
V_CURR,P010,9,2026-09-28,1077,华南工厂,SOP
V_CURR,P010,10,2026-10-05,1294,华南工厂,SOP
V_CURR,P010,11,2026-10-12,1181,华南工厂,SOP
V_CURR,P010,12,2026-10-19,1378,华南工厂,SOP
V_CURR,P011,1,2026-08-03,0,华东工厂,EOM预警
V_CURR,P011,2,2026-08-10,0,华东工厂,EOM预警
V_CURR,P011,3,2026-08-17,0,华东工厂,EOM预警
V_CURR,P011,4,2026-08-24,0,华东工厂,EOM预警
V_CURR,P011,5,2026-08-31,0,华东工厂,EOM预警
V_CURR,P011,6,2026-09-07,0,华东工厂,EOM预警
V_CURR,P011,7,2026-09-14,0,华东工厂,EOM预警
V_CURR,P011,8,2026-09-21,0,华东工厂,EOM预警
V_CURR,P011,9,2026-09-28,0,华东工厂,EOM预警
V_CURR,P011,10,2026-10-05,0,华东工厂,EOM预警
V_CURR,P011,11,2026-10-12,0,华东工厂,EOM预警
V_CURR,P011,12,2026-10-19,0,华东工厂,EOM预警
V_CURR,P012,1,2026-08-03,428,华南工厂,Pilot
V_CURR,P012,2,2026-08-10,433,华南工厂,Pilot
V_CURR,P012,3,2026-08-17,385,华南工厂,Pilot
V_CURR,P012,4,2026-08-24,415,华南工厂,Pilot
V_CURR,P012,5,2026-08-31,641,华南工厂,Pilot
V_CURR,P012,6,2026-09-07,726,华南工厂,Pilot
V_CURR,P012,7,2026-09-14,664,华南工厂,Pilot
V_CURR,P012,8,2026-09-21,689,华南工厂,Pilot
V_CURR,P012,9,2026-09-28,67,华南工厂,Pilot
V_CURR,P012,10,2026-10-05,77,华南工厂,Pilot
V_CURR,P012,11,2026-10-12,73,华南工厂,Pilot
V_CURR,P012,12,2026-10-19,93,华南工厂,Pilot
