material_id,material_name,material_category,plant,supplier_id,dedication_type,shared_models,shared_model_count,lead_time_days,unit_price,demand_4w,demand_8w,demand_12w,forecast_cv,buffer_rate,uncertainty_buffer_qty,safety_stock,protected_qty,on_hand,open_po,total_supply,book_excess_qty,decision_excess_qty,shortage_qty,coverage_weeks,shelf_life_days,average_age_days,remaining_shelf_life_days,expiry_ratio,related_lifecycle_mix,eom_model_count,active_model_count,cross_plant_absorb_qty,cross_plant_targets,active_shared_models,extended_active_model_demand_14w,cross_model_absorb_qty,book_excess_value,decision_excess_value,cancelable_po_qty,reschedulable_po_qty,locked_po_qty,cancellation_penalty_rate,ecn_target_material,ecn_compatibility_score,ecn_potential_consume_qty,supplier_return_qty,residual_stranded_qty,residual_stranded_value,risk_type,risk_score,severity,primary_action,action_summary,approval_status
M0011,控制板-011,PCB/电子料,华南工厂,SUP016,共用料,P003;P006;P009;P010;P011;P012,6,3,326.63,50005,114645,167155,0.136,0.05,8358,7808,16166,116802,86754,203556,36401,20235,0,14.6,365,151,214,0.414,Develop:1;EOM:1;EOM预警:1;Pilot:1;SOP:2,2,4,10756,华东工厂:10756,P006;P010;P012,183785,9479,11889658.63,6609358.05,30364,21688,34702,0.08,,0,0,0,0,0.0,可预防在途冗余,28,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 20235,待人工审批
M0064,铜排-064,五金件,华南工厂,SUP002,专用料,P004,1,3,336.94,9406,17286,23686,0.194,0.05,1184,987,2171,17510,11550,29060,5374,3203,0,14.7,1095,307,788,0.28,SOP:1,0,1,0,,P004,22400,0,1810715.56,1079218.82,7508,2888,1154,0.03,M0009,85,3203,0,0,0.0,可预防在途冗余,26,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 3203,待人工审批
M0057,控制线缆-057,电缆/线束,华南工厂,SUP016,专用料,P010,1,14,323.63,13382,26126,35986,0.151,0.05,1799,1499,3298,48525,0,48525,12539,9241,0,16.2,1095,48,1047,0.044,SOP:1,0,1,0,,P010,34510,0,4057996.57,2990664.83,0,0,0,0.0,M0067,85,9241,0,0,0.0,可转移/可切换冗余,25,Low,ECN切换消耗,P4:ECN切换消耗 9241,待人工审批
M0013,壳体-013,塑胶件,华南工厂,SUP014,共用料,P001;P004;P007;P010,4,3,116.79,11394,21706,29836,0.156,0.05,1492,3209,4701,23639,17975,41614,11778,7077,0,16.7,730,570,160,0.781,Pilot:2;SOP:2,0,4,7077,华东工厂:18957,P004;P010,28455,0,1375552.62,826522.83,11684,4494,1797,0.03,,0,0,0,0,0.0,可预防在途冗余,23,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 7077,待人工审批
M0066,控制板-066,PCB/电子料,华东工厂,SUP007,共用料,P009;P011,2,7,180.77,4520,6884,6884,0.824,0.15,1033,287,1320,4067,5115,9182,2298,978,0,16.0,365,116,249,0.318,EOM:1;EOM预警:1,2,0,0,,,0,0,415409.46,176793.06,3325,1279,511,0.03,M0051,85,978,0,0,0.0,可预防在途冗余,19,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 978,待人工审批
M0055,电感-055,磁性件,华东工厂,SUP002,专用料,P003,1,14,99.26,1269,1616,1616,0.995,0.15,242,67,309,1557,521,2078,462,153,0,15.4,730,704,26,0.964,SOP:1,0,1,0,,P003,0,0,45858.12,15186.78,182,78,261,0.08,M0030,88,153,0,0,0.0,可预防在途冗余,16,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 153,待人工审批
M0018,支架-018,塑胶件,华南工厂,SUP011,专用料,P012,1,3,44.35,1661,4381,4691,0.633,0.15,704,195,899,8080,0,8080,3389,2490,0,20.7,730,45,685,0.062,Pilot:1,0,1,0,,P012,1085,0,150302.15,110431.5,0,0,0,0.0,M0043,89,2490,0,0,0.0,可转移/可切换冗余,15,Low,ECN切换消耗,P4:ECN切换消耗 2490,待人工审批
M0007,高压线束-007,电缆/线束,华南工厂,SUP005,共用料,P003;P006;P007;P008;P009;P012,6,3,147.6,19395,46581,52966,0.489,0.1,5297,8488,13785,35101,33618,68719,15753,1968,0,15.6,1095,348,747,0.318,Develop:1;EOM:1;EOM预警:1;Pilot:2;SOP:1,2,4,1968,华东工厂:100722,P006;P012,22348,0,2325142.8,290476.8,21852,8404,3362,0.03,,0,0,0,0,0.0,可预防在途冗余,14,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 1968,待人工审批
M0052,高压线束-052,电缆/线束,华东工厂,SUP016,专用料,P003,1,3,10.56,1269,1616,1616,0.995,0.15,242,67,309,1111,859,1970,354,45,0,14.6,1095,938,157,0.857,SOP:1,0,1,0,,P003,0,0,3738.24,475.2,558,215,86,0.03,M0057,81,45,0,0,0.0,可预防在途冗余,9,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 45,待人工审批
M0044,紧固件-044,五金件,华南工厂,SUP005,专用料,P002,1,3,64.62,20560,38496,65216,0.199,0.05,3261,2717,5978,72009,0,72009,6793,815,0,13.2,1095,642,453,0.586,Pilot:1,0,1,0,,P002,93520,0,438963.66,52665.3,0,0,0,0.0,M0034,82,815,0,0,0.0,可转移/可切换冗余,7,Low,ECN切换消耗,P4:ECN切换消耗 815,待人工审批
