document_id,material_id,plant,supplier_id,document_status,flexibility_state,open_po_qty,eta_week,cancel_deadline_week,cancelable_qty,reschedulable_qty,locked_qty,cancellation_penalty_rate,approval_required
PO-M0011-工厂,M0011,华东工厂,SUP016,PO_OPEN,PO已确认,15260,2,0,763,3052,11445,0.15,采购经理+计划经理
PO-M0011-工厂,M0011,华南工厂,SUP016,PO_EXCESS_REVIEW,PO待复核,86754,4,2,30364,21688,34702,0.08,采购经理+计划经理
PO-M0013-工厂,M0013,华东工厂,SUP014,PO_OPEN,PO已确认,12874,1,0,644,2575,9655,0.15,采购经理+计划经理
PO-M0013-工厂,M0013,华南工厂,SUP014,PO_EXCESS_REVIEW,PO待复核,17975,9,7,11684,4494,1797,0.03,采购经理+计划经理
PR-M0014-工厂,M0014,华东工厂,SUP011,PR_PENDING,PR未下单,1134,3,1,1134,0,0,0,采购经理+计划经理
PO-M0014-工厂,M0014,华南工厂,SUP011,PO_EXCESS_REVIEW,PO待复核,40947,3,1,14331,6142,20474,0.08,采购经理+计划经理
PO-M0016-工厂,M0016,华东工厂,SUP016,PO_OPEN,PO已确认,5120,8,6,1024,2304,1792,0.08,采购经理+计划经理
PO-M0016-工厂,M0016,华南工厂,SUP016,PO_EXCESS_REVIEW,PO待复核,21951,2,0,7683,3293,10975,0.08,采购经理+计划经理
PO-M0017-工厂,M0017,华东工厂,SUP002,PO_OPEN,PO已确认,16946,9,7,3389,7626,5931,0.08,采购经理+计划经理
PO-M0017-工厂,M0017,华南工厂,SUP002,PO_OPEN,PO已确认,64930,1,0,3246,12986,48698,0.15,采购经理+计划经理
PO-M0018-工厂,M0018,华南工厂,SUP011,NO_ACTION,无在途,0,0,0,0,0,0,0,采购经理
PO-M0019-工厂,M0019,华东工厂,SUP015,PO_OPEN,PO已确认,5058,3,1,253,1012,3793,0.15,采购经理+计划经理
PR-M0019-工厂,M0019,华南工厂,SUP015,PR_PENDING,PR未下单,6560,6,4,6560,0,0,0,采购经理+计划经理
PR-M0020-工厂,M0020,华东工厂,SUP014,PR_PENDING,PR未下单,839,9,7,839,0,0,0,采购经理+计划经理
PO-M0020-工厂,M0020,华南工厂,SUP014,PO_EXCESS_REVIEW,PO待复核,17863,1,0,6252,2679,8932,0.08,采购经理+计划经理
PO-M0021-工厂,M0021,华南工厂,SUP003,PO_OPEN,PO已确认,19203,1,0,960,3841,14402,0.15,采购经理+计划经理
PO-M0022-工厂,M0022,华南工厂,SUP014,PO_EXCESS_REVIEW,PO待复核,13216,9,7,8590,3304,1322,0.03,采购经理+计划经理
PO-M0023-工厂,M0023,华东工厂,SUP007,PO_OPEN,PO已确认,3153,1,0,158,631,2364,0.15,采购经理+计划经理
PO-M0023-工厂,M0023,华南工厂,SUP007,PO_EXCESS_REVIEW,PO待复核,36289,1,0,12701,5443,18145,0.08,采购经理+计划经理
PO-M0024-工厂,M0024,华东工厂,SUP019,PO_OPEN,PO已确认,31058,10,8,6212,13976,10870,0.08,采购经理+计划经理
PO-M0024-工厂,M0024,华南工厂,SUP019,PO_EXCESS_REVIEW,PO待复核,85441,4,2,29904,21360,34177,0.08,采购经理+计划经理
PO-M0025-工厂,M0025,华南工厂,SUP009,PO_EXCESS_REVIEW,PO待复核,4156,9,7,2701,1039,416,0.03,采购经理+计划经理
PO-M0026-工厂,M0026,华南工厂,SUP008,PO_OPEN,PO已确认,6574,8,6,1315,2958,2301,0.08,采购经理+计划经理
PO-M0027-工厂,M0027,华东工厂,SUP001,PO_OPEN,PO已确认,3179,8,6,636,1431,1112,0.08,采购经理+计划经理
PO-M0027-工厂,M0027,华南工厂,SUP001,PO_OPEN,PO已确认,19,5,3,1,9,9,0.15,采购经理+计划经理
PO-M0028-工厂,M0028,华东工厂,SUP011,PO_OPEN,PO已确认,6874,4,2,344,1375,5155,0.15,采购经理+计划经理
PO-M0028-工厂,M0028,华南工厂,SUP011,PO_OPEN,PO已确认,229,7,5,46,103,80,0.08,采购经理+计划经理
PO-M0029-工厂,M0029,华东工厂,SUP003,PO_EXCESS_REVIEW,PO待复核,765,3,1,268,115,382,0.08,采购经理+计划经理
PR-M0030-工厂,M0030,华东工厂,SUP008,PR_PENDING,PR未下单,22561,6,4,22561,0,0,0,采购经理+计划经理
PO-M0030-工厂,M0030,华南工厂,SUP008,PO_EXCESS_REVIEW,PO待复核,8025,9,7,5216,2006,803,0.03,采购经理+计划经理
PO-M0031-工厂,M0031,华南工厂,SUP015,NO_ACTION,无在途,0,0,0,0,0,0,0,采购经理
PO-M0032-工厂,M0032,华南工厂,SUP013,PO_EXCESS_REVIEW,PO待复核,7457,1,0,2610,1119,3728,0.08,采购经理+计划经理
PO-M0033-工厂,M0033,华东工厂,SUP009,PO_EXCESS_REVIEW,PO待复核,106057,7,5,68937,26514,10606,0.03,采购经理+计划经理
PO-M0033-工厂,M0033,华南工厂,SUP009,PO_OPEN,PO已确认,2253,5,3,113,1014,1126,0.15,采购经理+计划经理
PO-M0034-工厂,M0034,华东工厂,SUP009,PO_EXCESS_REVIEW,PO待复核,19054,7,5,12385,4764,1905,0.03,采购经理+计划经理
PR-M0035-工厂,M0035,华东工厂,SUP002,PR_PENDING,PR未下单,8759,7,5,8759,0,0,0,采购经理+计划经理
PO-M0036-工厂,M0036,华东工厂,SUP001,PO_EXCESS_REVIEW,PO待复核,10322,2,0,3613,1548,5161,0.08,采购经理+计划经理
PO-M0037-工厂,M0037,华南工厂,SUP004,PO_EXCESS_REVIEW,PO待复核,647,4,2,226,162,259,0.08,采购经理+计划经理
PO-M0038-工厂,M0038,华东工厂,SUP019,PO_OPEN,PO已确认,4487,8,6,897,2019,1571,0.08,采购经理+计划经理
PO-M0038-工厂,M0038,华南工厂,SUP019,PO_EXCESS_REVIEW,PO待复核,5810,9,7,3776,1452,582,0.03,采购经理+计划经理
PO-M0039-工厂,M0039,华东工厂,SUP019,PO_EXCESS_REVIEW,PO待复核,8534,9,7,5547,2134,853,0.03,采购经理+计划经理
PR-M0040-工厂,M0040,华东工厂,SUP017,PR_PENDING,PR未下单,1677,6,4,1677,0,0,0,采购经理+计划经理
PO-M0040-工厂,M0040,华南工厂,SUP017,PO_OPEN,PO已确认,27468,7,5,5494,12361,9613,0.08,采购经理+计划经理
PO-M0041-工厂,M0041,华南工厂,SUP015,PO_EXCESS_REVIEW,PO待复核,1294,4,2,453,324,517,0.08,采购经理+计划经理
PO-M0042-工厂,M0042,华南工厂,SUP001,PO_EXCESS_REVIEW,PO待复核,2588,4,2,906,647,1035,0.08,采购经理+计划经理
PO-M0043-工厂,M0043,华东工厂,SUP011,PO_OPEN,PO已确认,7121,9,7,1424,3204,2493,0.08,采购经理+计划经理
PO-M0043-工厂,M0043,华南工厂,SUP011,PO_EXCESS_REVIEW,PO待复核,9626,2,0,3369,1444,4813,0.08,采购经理+计划经理
PO-M0044-工厂,M0044,华南工厂,SUP005,NO_ACTION,无在途,0,0,0,0,0,0,0,采购经理
PO-M0045-工厂,M0045,华东工厂,SUP006,PO_EXCESS_REVIEW,PO待复核,2753,4,2,964,688,1101,0.08,采购经理+计划经理
PO-M0046-工厂,M0046,华东工厂,SUP003,PO_OPEN,PO已确认,8215,8,6,1643,3697,2875,0.08,采购经理+计划经理
PO-M0047-工厂,M0047,华南工厂,SUP005,PO_EXCESS_REVIEW,PO待复核,57570,9,7,37420,14392,5758,0.03,采购经理+计划经理
PO-M0048-工厂,M0048,华南工厂,SUP005,PO_OPEN,PO已确认,29827,2,0,1491,5965,22371,0.15,采购经理+计划经理
PO-M0049-工厂,M0049,华东工厂,SUP014,PO_EXCESS_REVIEW,PO待复核,11014,4,2,3855,2754,4405,0.08,采购经理+计划经理
PO-M0050-工厂,M0050,华东工厂,SUP010,PO_EXCESS_REVIEW,PO待复核,11014,4,2,3855,2754,4405,0.08,采购经理+计划经理
PO-M0051-工厂,M0051,华东工厂,SUP004,PO_OPEN,PO已确认,410,8,6,82,184,144,0.08,采购经理+计划经理
PO-M0052-工厂,M0052,华东工厂,SUP016,PO_EXCESS_REVIEW,PO待复核,859,10,8,558,215,86,0.03,采购经理+计划经理
PO-M0053-工厂,M0053,华南工厂,SUP009,PO_OPEN,PO已确认,9531,4,2,477,1906,7148,0.15,采购经理+计划经理
PR-M0054-工厂,M0054,华南工厂,SUP015,PR_PENDING,PR未下单,1849,6,4,1849,0,0,0,采购经理+计划经理
PO-M0055-工厂,M0055,华东工厂,SUP002,PO_EXCESS_REVIEW,PO待复核,521,3,1,182,78,261,0.08,采购经理+计划经理
PO-M0056-工厂,M0056,华东工厂,SUP011,PO_EXCESS_REVIEW,PO待复核,5817,9,7,3781,1454,582,0.03,采购经理+计划经理
PO-M0057-工厂,M0057,华南工厂,SUP016,NO_ACTION,无在途,0,0,0,0,0,0,0,采购经理
PO-M0058-工厂,M0058,华东工厂,SUP007,PO_EXCESS_REVIEW,PO待复核,2010,2,0,704,302,1004,0.08,采购经理+计划经理
PO-M0058-工厂,M0058,华南工厂,SUP007,PO_OPEN,PO已确认,6273,2,0,314,1255,4704,0.15,采购经理+计划经理
PO-M0059-工厂,M0059,华南工厂,SUP006,PO_EXCESS_REVIEW,PO待复核,3982,7,5,2588,996,398,0.03,采购经理+计划经理
PO-M0060-工厂,M0060,华南工厂,SUP015,PO_EXCESS_REVIEW,PO待复核,19780,8,6,12857,4945,1978,0.03,采购经理+计划经理
PO-M0063-工厂,M0063,华南工厂,SUP016,PO_OPEN,PO已确认,11450,9,7,2290,5152,4008,0.08,采购经理+计划经理
PO-M0064-工厂,M0064,华南工厂,SUP002,PO_EXCESS_REVIEW,PO待复核,11550,7,5,7508,2888,1154,0.03,采购经理+计划经理
PO-M0066-工厂,M0066,华东工厂,SUP007,PO_EXCESS_REVIEW,PO待复核,5115,9,7,3325,1279,511,0.03,采购经理+计划经理
PO-M0067-工厂,M0067,华东工厂,SUP019,PO_OPEN,PO已确认,690,8,6,138,310,242,0.08,采购经理+计划经理
PO-M0068-工厂,M0068,华东工厂,SUP012,PO_OPEN,PO已确认,1786,9,7,357,804,625,0.08,采购经理+计划经理
PO-M0069-工厂,M0069,华南工厂,SUP015,PO_EXCESS_REVIEW,PO待复核,4307,4,2,1507,1077,1723,0.08,采购经理+计划经理
PR-M0070-工厂,M0070,华东工厂,SUP015,PR_PENDING,PR未下单,1822,10,8,1822,0,0,0,采购经理+计划经理
PO-M0070-工厂,M0070,华南工厂,SUP015,NO_ACTION,无在途,0,0,0,0,0,0,0,采购经理
PO-M0071-工厂,M0071,华东工厂,SUP005,PO_OPEN,PO已确认,4487,8,6,897,2019,1571,0.08,采购经理+计划经理
PO-M0072-工厂,M0072,华东工厂,SUP009,PO_OPEN,PO已确认,39,7,5,8,18,13,0.08,采购经理+计划经理
PO-M0072-工厂,M0072,华南工厂,SUP009,PO_EXCESS_REVIEW,PO待复核,29185,2,0,10215,4378,14592,0.08,采购经理+计划经理
