material_id,material_name,material_category,procurement_type,supplier_id,lead_time_days,lt_gt_30,dedication_type,shared_model_count,shared_models,safety_stock,moq,unit_price
M0015,磁芯-015,磁性件,外购,SUP002,3,N,专用料,0,,0,50,166.2
M0016,控制板-016,PCB/电子料,外购,SUP016,60,Y,共用料,5,P001;P004;P007;P008;P010,4045,500,233.51
M0017,信号线束-017,电缆/线束,外购,SUP002,3,N,共用料,5,P001;P002;P004;P007;P010,9631,100,87.24
M0018,支架-018,塑胶件,外购,SUP011,3,N,专用料,1,P012,195,1000,44.35
M0019,铜排-019,五金件,外购,SUP015,21,N,共用料,5,P001;P002;P003;P007;P012,4264,1000,156.64
M0020,变压器-020,磁性件,外购,SUP014,3,N,共用料,4,P001;P002;P003;P012,3102,1,191.41
M0021,控制板-021,PCB/电子料,外购,SUP003,45,Y,共用料,4,P006;P010;P011;P012,3385,100,225.18
M0022,高压线束-022,电缆/线束,外购,SUP014,60,Y,共用料,2,P002;P006,1053,10,257.37
M0023,盖板-023,塑胶件,外购,SUP007,7,N,共用料,3,P004;P005;P006,6634,50,177.05
M0024,散热件-024,五金件,外购,SUP019,30,N,共用料,4,P004;P005;P006;P012,13462,10,302.54
M0025,电感-025,磁性件,外购,SUP009,3,N,专用料,1,P006,374,10,32.62
M0026,控制板-026,PCB/电子料,外购,SUP008,7,N,共用料,3,P004;P006;P008,1308,100,86.54
M0027,控制线缆-027,电缆/线束,外购,SUP001,60,Y,共用料,3,P007;P008;P009,784,500,50.67
M0028,壳体-028,塑胶件,外购,SUP011,3,N,共用料,4,P001;P007;P008;P009,2002,50,84.91
M0029,紧固件-029,五金件,外购,SUP003,30,N,专用料,1,P007,679,100,88.48
M0030,磁芯-030,磁性件,外购,SUP008,7,N,共用料,4,P001;P002;P003;P007,4070,1000,105.55
M0031,控制板-031,PCB/电子料,外购,SUP015,3,N,共用料,3,P010;P011;P012,1890,50,264.87
M0032,信号线束-032,电缆/线束,外购,SUP013,30,N,共用料,3,P010;P011;P012,945,500,218.14
M0033,支架-033,塑胶件,外购,SUP009,7,N,共用料,3,P007;P008;P009,7630,1,319.51
M0034,铜排-034,五金件,外购,SUP009,3,N,共用料,2,P005;P007,2261,500,82.28
M0035,变压器-035,磁性件,外购,SUP002,14,N,专用料,1,P001,1218,50,261.11
M0036,控制板-036,PCB/电子料,外购,SUP001,60,Y,专用料,1,P001,1218,100,188.0
M0037,高压线束-037,电缆/线束,外购,SUP004,3,N,专用料,1,P008,34,100,145.73
M0038,盖板-038,塑胶件,外购,SUP019,60,Y,共用料,4,P004;P005;P006;P008,3384,50,333.9
M0039,散热件-039,五金件,外购,SUP019,7,N,专用料,1,P001,609,100,278.94
M0040,电感-040,磁性件,外购,SUP017,3,N,共用料,2,P001;P004,5165,100,206.93
M0041,控制板-041,PCB/电子料,外购,SUP015,7,N,专用料,1,P008,67,500,263.75
M0042,控制线缆-042,电缆/线束,外购,SUP001,21,N,专用料,1,P008,135,500,165.34
M0043,壳体-043,塑胶件,外购,SUP011,30,N,共用料,2,P001;P002,3326,10,67.6
M0044,紧固件-044,五金件,外购,SUP005,3,N,专用料,1,P002,2717,100,64.62
M0045,磁芯-045,磁性件,外购,SUP006,45,Y,专用料,1,P009,143,100,288.22
M0046,控制板-046,PCB/电子料,外购,SUP003,7,N,共用料,3,P007;P009;P011,6003,10,295.24
M0047,信号线束-047,电缆/线束,外购,SUP005,3,N,专用料,1,P002,5435,1,67.39
M0048,支架-048,塑胶件,外购,SUP005,3,N,共用料,2,P002;P006,3091,100,122.16
M0049,铜排-049,五金件,外购,SUP014,60,Y,专用料,1,P009,574,1,67.41
M0050,变压器-050,磁性件,外购,SUP010,30,N,专用料,1,P009,574,10,9.84
M0051,控制板-051,PCB/电子料,外购,SUP004,3,N,专用料,1,P003,269,100,199.19
M0052,高压线束-052,电缆/线束,外购,SUP016,3,N,专用料,1,P003,67,100,10.56
M0053,盖板-053,塑胶件,外购,SUP009,14,N,专用料,1,P010,750,10,56.9
M0054,散热件-054,五金件,外购,SUP015,60,Y,专用料,1,P010,750,500,216.44
M0055,电感-055,磁性件,外购,SUP002,14,N,专用料,1,P003,67,100,99.26
M0056,控制板-056,PCB/电子料,外购,SUP011,45,Y,专用料,1,P003,269,10,136.13
M0057,控制线缆-057,电缆/线束,外购,SUP016,14,N,专用料,1,P010,1499,500,323.63
M0058,壳体-058,塑胶件,外购,SUP007,3,N,共用料,2,P009;P010,1786,500,89.81
M0059,紧固件-059,五金件,外购,SUP006,45,Y,专用料,1,P004,493,500,231.92
M0060,磁芯-060,磁性件,外购,SUP015,60,Y,专用料,1,P004,1974,10,74.48
M0061,控制板-061,PCB/电子料,外购,SUP012,30,N,专用料,1,P011,0,1000,269.73
M0062,信号线束-062,电缆/线束,外购,SUP016,14,N,专用料,1,P011,0,500,318.9
M0063,支架-063,塑胶件,外购,SUP016,3,N,共用料,2,P004;P010,3492,100,227.28
M0064,铜排-064,五金件,外购,SUP002,3,N,专用料,1,P004,987,10,336.94
M0065,变压器-065,磁性件,外购,SUP001,3,N,专用料,1,P011,0,1,347.12
M0066,控制板-066,PCB/电子料,外购,SUP007,7,N,共用料,2,P009;P011,287,500,180.77
M0067,高压线束-067,电缆/线束,外购,SUP019,3,N,专用料,1,P005,791,500,333.29
M0068,盖板-068,塑胶件,外购,SUP012,3,N,专用料,1,P005,791,1,70.55
M0069,散热件-069,五金件,外购,SUP015,3,N,专用料,1,P012,391,1,232.53
M0070,电感-070,磁性件,外购,SUP015,7,N,共用料,2,P003;P012,1698,1,83.37
M0071,控制板-071,PCB/电子料,外购,SUP005,60,Y,专用料,1,P005,1583,1,324.11
M0072,控制线缆-072,电缆/线束,外购,SUP009,3,N,共用料,2,P005;P010,4582,50,204.65
