material_id,plant,demand_8w,on_hand,in_transit_po,po_eta_week,safety_stock,need_week,available_before_need,net_gap,surplus_qty,coverage_weeks
M0064,华南工厂,17286,17510,11550,7,987,,29060,0,10787,13.45
M0066,华东工厂,6884,4067,5115,9,287,4,4067,0,2011,10.67
M0067,华东工厂,8975,4523,690,8,791,6,4523,4553,0,4.65
M0068,华东工厂,8975,4322,1786,9,791,6,4322,3658,0,5.44
M0069,华南工厂,8762,9463,4307,4,391,,13770,0,4617,12.57
M0070,华东工厂,3232,2808,1822,10,1698,6,2808,300,0,11.46
M0070,华南工厂,35048,64784,0,,1698,,64784,0,28038,14.79
M0071,华东工厂,17950,2692,4487,8,1583,3,2692,12354,0,3.2
M0072,华东工厂,17950,12344,39,7,4582,7,12383,10149,0,5.52
M0072,华南工厂,52252,28560,29185,2,4582,10,57745,0,911,8.84
